,ID,Title,Topic,Section,Timestamp,RSS,Link,Image,Description,Source,Rating,JsonDict
0,0,"Does dairy need a closer look at its brand as people turn to what they believe are ""healthier"" alternatives?",Business,Business_Latest,2019-05-22 13:44:00,ABC,https://www.abc.net.au/news/rural/2019-05-22/does-the-dairy-industry-need-to-rebrand-as-alternatives-rise/11134246?source=rss,https://www.abc.net.au/cm/lb/8494796/data/four-different-types-of-milk-alternatives-in-glasses-data.jpg,"Industry experts say consumers are often misguided about what is healthier between alternative and dairy milks, and some say branding is the issue.",ABC News,2.0,"{
    ""ID"": 0,
    ""Title"": ""Does dairy need a closer look at its brand as people turn to what they believe are \""healthier\"" alternatives?"",
    ""Topic"": ""Business"",
    ""Section"": ""Business_Latest"",
    ""Timestamp"": ""2019-05-22 13:44:00"",
    ""RSS"": ""ABC"",
    ""Link"": ""https://www.abc.net.au/news/rural/2019-05-22/does-the-dairy-industry-need-to-rebrand-as-alternatives-rise/11134246?source=rss"",
    ""Image"": ""https://www.abc.net.au/cm/lb/8494796/data/four-different-types-of-milk-alternatives-in-glasses-data.jpg"",
    ""Description"": ""Industry experts say consumers are often misguided about what is healthier between alternative and dairy milks, and some say branding is the issue."",
    ""Source"": ""ABC News"",
    ""Rating"": 2.0
}"
1,1,Chinchilla students set to discover new worlds in books,Entertainment,Books,2019-05-21 22:51:00,Bing,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=F71D523D204F4B11952712D90B18C6F0&url=https%3a%2f%2fwww.dailymercury.com.au%2fnews%2fchinchilla-students-set-to-discover-new-worlds-in-%2f3734143%2f&c=15643107387176991837&mkt=en-au,http://www.bing.com/th?id=ON.9106A5630435D836178D5E8BE26C247A&pid=News,"WE ALL have our favourite picture books. And it""s that love of story and reading staff at Chinchilla State School are excited to help instil in their young students through a unique new program. ...",Daily Mercury,6.0,"{
    ""ID"": 1,
    ""Title"": ""Chinchilla students set to discover new worlds in books"",
    ""Topic"": ""Entertainment"",
    ""Section"": ""Books"",
    ""Timestamp"": ""2019-05-21 22:51:00"",
    ""RSS"": ""Bing"",
    ""Link"": ""http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=F71D523D204F4B11952712D90B18C6F0&url=https%3a%2f%2fwww.dailymercury.com.au%2fnews%2fchinchilla-students-set-to-discover-new-worlds-in-%2f3734143%2f&c=15643107387176991837&mkt=en-au"",
    ""Image"": ""http://www.bing.com/th?id=ON.9106A5630435D836178D5E8BE26C247A&pid=News"",
    ""Description"": ""WE ALL have our favourite picture books. And it\""s that love of story and reading staff at Chinchilla State School are excited to help instil in their young students through a unique new program. ..."",
    ""Source"": ""Daily Mercury"",
    ""Rating"": 6.0
}"
2,2,"Better days ahead for $A, the economy",Business,Economy,2019-05-21 22:49:00,Bing,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=08EB7632A4004AA6A785AC0814539D98&url=https%3a%2f%2fwww.afr.com%2fmarkets%2fequity-markets%2fbetter-days-ahead-for-a-the-economy-20190522-p51px5&c=9329065267274370269&mkt=en-au,http://www.bing.com/th?id=ON.15F3130929D31FB2CCB2EF418D180E0C&pid=News,"For currency traders, RBA boss Philip Lowe took the punch bowl away from the post-election party when he effectively pre-announced a June rate cut on Tuesday. The Aussie dollar had been moving higher ...",The Australian Financial Review,6.0,"{
    ""ID"": 2,
    ""Title"": ""Better days ahead for $A, the economy"",
    ""Topic"": ""Business"",
    ""Section"": ""Economy"",
    ""Timestamp"": ""2019-05-21 22:49:00"",
    ""RSS"": ""Bing"",
    ""Link"": ""http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=08EB7632A4004AA6A785AC0814539D98&url=https%3a%2f%2fwww.afr.com%2fmarkets%2fequity-markets%2fbetter-days-ahead-for-a-the-economy-20190522-p51px5&c=9329065267274370269&mkt=en-au"",
    ""Image"": ""http://www.bing.com/th?id=ON.15F3130929D31FB2CCB2EF418D180E0C&pid=News"",
    ""Description"": ""For currency traders, RBA boss Philip Lowe took the punch bowl away from the post-election party when he effectively pre-announced a June rate cut on Tuesday. The Aussie dollar had been moving higher ..."",
    ""Source"": ""The Australian Financial Review"",
    ""Rating"": 6.0
}"
3,3,The Internet Security Apocalypse You Probably Missed,Technology,Internet,2019-05-21 22:45:00,Bing,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=846584AC25EF4048A3AB84C47CE58F84&url=https%3a%2f%2fwww.nytimes.com%2f2019%2f05%2f21%2fopinion%2finternet-security.html&c=9756284625019424095&mkt=en-au,http://www.bing.com/th?id=ON.D25E546FE0C2166BC01B698A8DA08A52&pid=News,"This article is part of a limited-run newsletter. You can sign up here. Instead of my usual monologue, this week I’ve invited my colleague, the editorial writer Sarah Jeong, to have a conversation ...",nytimes.com,6.0,"{
    ""ID"": 3,
    ""Title"": ""The Internet Security Apocalypse You Probably Missed"",
    ""Topic"": ""Technology"",
    ""Section"": ""Internet"",
    ""Timestamp"": ""2019-05-21 22:45:00"",
    ""RSS"": ""Bing"",
    ""Link"": ""http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=846584AC25EF4048A3AB84C47CE58F84&url=https%3a%2f%2fwww.nytimes.com%2f2019%2f05%2f21%2fopinion%2finternet-security.html&c=9756284625019424095&mkt=en-au"",
    ""Image"": ""http://www.bing.com/th?id=ON.D25E546FE0C2166BC01B698A8DA08A52&pid=News"",
    ""Description"": ""This article is part of a limited-run newsletter. You can sign up here. Instead of my usual monologue, this week I\u2019ve invited my colleague, the editorial writer Sarah Jeong, to have a conversation ..."",
    ""Source"": ""nytimes.com"",
    ""Rating"": 6.0
}"
4,4,Turkey Burns Bridges With Markets as Costs of Lira Defense Mount,Business,Markets,2019-05-21 22:44:00,Bing,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=355B84F840AC4B7CA2F4682B3A23E45F&url=https%3a%2f%2ffinance.yahoo.com%2fnews%2fturkey-burns-bridges-markets-costs-220010997.html&c=6645493605815993457&mkt=en-au,http://www.bing.com/th?id=ON.51985CF4746A188D05235A48ED923A86&pid=News,"(Bloomberg) -- Recep Tayyip Erdogan’s Turkey is paying the price for its pre-election efforts to tinker with the markets. As a controversial vote rerun looms, a barrage of interventionist ...",Yahoo Finance,1.0,"{
    ""ID"": 4,
    ""Title"": ""Turkey Burns Bridges With Markets as Costs of Lira Defense Mount"",
    ""Topic"": ""Business"",
    ""Section"": ""Markets"",
    ""Timestamp"": ""2019-05-21 22:44:00"",
    ""RSS"": ""Bing"",
    ""Link"": ""http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=355B84F840AC4B7CA2F4682B3A23E45F&url=https%3a%2f%2ffinance.yahoo.com%2fnews%2fturkey-burns-bridges-markets-costs-220010997.html&c=6645493605815993457&mkt=en-au"",
    ""Image"": ""http://www.bing.com/th?id=ON.51985CF4746A188D05235A48ED923A86&pid=News"",
    ""Description"": ""(Bloomberg) -- Recep Tayyip Erdogan\u2019s Turkey is paying the price for its pre-election efforts to tinker with the markets. As a controversial vote rerun looms, a barrage of interventionist ..."",
    ""Source"": ""Yahoo Finance"",
    ""Rating"": 1.0
}"
5,5,Peterborough Sports and Netherton United win golden oldie cup finals,Sports,Sports,2019-05-21 22:44:00,Bing,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=4AC55A59D9F84BF7A3B3D2990A7916CD&url=https%3a%2f%2fwww.peterboroughtoday.co.uk%2fsport%2ffootball%2fpeterborough-sports-and-netherton-united-win-golden-oldie-cup-finals-1-8935714&c=11683642291382175876&mkt=en-au,http://www.bing.com/th?id=ON.7C094299B3BF01A88B2CF650006BFA77&pid=News,Peterborough Sports continued their domination of local veterans football by lifting the Peterborough Football Sports Development Fund (PFSDF) Invitation Cup on Sunday (May 19). Sports beat Warboys ...,Peterborough Evening Telegraph,6.0,"{
    ""ID"": 5,
    ""Title"": ""Peterborough Sports and Netherton United win golden oldie cup finals"",
    ""Topic"": ""Sports"",
    ""Section"": ""Sports"",
    ""Timestamp"": ""2019-05-21 22:44:00"",
    ""RSS"": ""Bing"",
    ""Link"": ""http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=4AC55A59D9F84BF7A3B3D2990A7916CD&url=https%3a%2f%2fwww.peterboroughtoday.co.uk%2fsport%2ffootball%2fpeterborough-sports-and-netherton-united-win-golden-oldie-cup-finals-1-8935714&c=11683642291382175876&mkt=en-au"",
    ""Image"": ""http://www.bing.com/th?id=ON.7C094299B3BF01A88B2CF650006BFA77&pid=News"",
    ""Description"": ""Peterborough Sports continued their domination of local veterans football by lifting the Peterborough Football Sports Development Fund (PFSDF) Invitation Cup on Sunday (May 19). Sports beat Warboys ..."",
    ""Source"": ""Peterborough Evening Telegraph"",
    ""Rating"": 6.0
}"
6,6,"Sports on TV, May 22",Sports,Sports,2019-05-21 22:43:00,Bing,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=4AC55A59D9F84BF7A3B3D2990A7916CD&url=https%3a%2f%2fwww.timesdaily.com%2fsports%2fsports_broadcasts%2fsports-on-tv-may%2farticle_1f34f40d-0172-521f-8df4-5568d3d31309.html&c=2169957989373661547&mkt=en-au,http://www.bing.com/th?id=ON.1A1962525862DE54AAF0CAEF12A8E54B&pid=News,"• Big Ten tournament, Maryland vs. Illinois, 9 a.m., BTN • SEC tournament, Texas A&M vs. Georgia, 9:30 a.m., SEC • Big Ten tournament, Ohio State vs. Michigan, 1 p.m., BTN • SEC tournament, Ole Miss ...",TimesDaily,6.0,"{
    ""ID"": 6,
    ""Title"": ""Sports on TV, May 22"",
    ""Topic"": ""Sports"",
    ""Section"": ""Sports"",
    ""Timestamp"": ""2019-05-21 22:43:00"",
    ""RSS"": ""Bing"",
    ""Link"": ""http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=4AC55A59D9F84BF7A3B3D2990A7916CD&url=https%3a%2f%2fwww.timesdaily.com%2fsports%2fsports_broadcasts%2fsports-on-tv-may%2farticle_1f34f40d-0172-521f-8df4-5568d3d31309.html&c=2169957989373661547&mkt=en-au"",
    ""Image"": ""http://www.bing.com/th?id=ON.1A1962525862DE54AAF0CAEF12A8E54B&pid=News"",
    ""Description"": ""\u2022 Big Ten tournament, Maryland vs. Illinois, 9 a.m., BTN \u2022 SEC tournament, Texas A&M vs. Georgia, 9:30 a.m., SEC \u2022 Big Ten tournament, Ohio State vs. Michigan, 1 p.m., BTN \u2022 SEC tournament, Ole Miss ..."",
    ""Source"": ""TimesDaily"",
    ""Rating"": 6.0
}"
7,7,Music to the ears for 17 years,Entertainment,Music,2019-05-21 22:42:00,Bing,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=279C9FC695EE4C8BB936C032865C6091&url=https%3a%2f%2fwww.thechronicle.com.au%2fnews%2fmusic-to-the-ears-for-17-years%2f3734237%2f&c=14460846998060184107&mkt=en-au,http://www.bing.com/th?id=ON.5B9A05D52E25E786EB125E4EE0A56C7A&pid=News,AN STRING of 17 years is a cause for celebration as Music at Noosa tunes up to thank their customers for continued loyal support. The iconic one-stop music shop is filled floor to ceiling with every ...,The Toowoomba Chronicle,6.0,"{
    ""ID"": 7,
    ""Title"": ""Music to the ears for 17 years"",
    ""Topic"": ""Entertainment"",
    ""Section"": ""Music"",
    ""Timestamp"": ""2019-05-21 22:42:00"",
    ""RSS"": ""Bing"",
    ""Link"": ""http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=279C9FC695EE4C8BB936C032865C6091&url=https%3a%2f%2fwww.thechronicle.com.au%2fnews%2fmusic-to-the-ears-for-17-years%2f3734237%2f&c=14460846998060184107&mkt=en-au"",
    ""Image"": ""http://www.bing.com/th?id=ON.5B9A05D52E25E786EB125E4EE0A56C7A&pid=News"",
    ""Description"": ""AN STRING of 17 years is a cause for celebration as Music at Noosa tunes up to thank their customers for continued loyal support. The iconic one-stop music shop is filled floor to ceiling with every ..."",
    ""Source"": ""The Toowoomba Chronicle"",
    ""Rating"": 6.0
}"
8,8,Health alert as smoke from burn off covers Sydney,Health,Health_Latest,2019-05-21 22:41:00,Bing,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=D6186BBF4BE84D5B873FAA373306A5E0&url=https%3a%2f%2fwww.9news.com.au%2fnational%2fnews-nsw-health-alert-as-smoke-covers-sydney-suburbs-blue-mountains-newcastle%2fb1c82db9-f053-439b-a932-e61c04e6ee0b&c=8935989390674458926&mkt=en-au,http://www.bing.com/th?id=ON.30C84B2B247A1F9D486B892295F2C1C6&pid=News,A health warning has been issued in Sydney as thick smoke from prescribed burns has pushed air quality to hazardous levels. (Nine) ...,Nine News Australia,2.0,"{
    ""ID"": 8,
    ""Title"": ""Health alert as smoke from burn off covers Sydney"",
    ""Topic"": ""Health"",
    ""Section"": ""Health_Latest"",
    ""Timestamp"": ""2019-05-21 22:41:00"",
    ""RSS"": ""Bing"",
    ""Link"": ""http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=D6186BBF4BE84D5B873FAA373306A5E0&url=https%3a%2f%2fwww.9news.com.au%2fnational%2fnews-nsw-health-alert-as-smoke-covers-sydney-suburbs-blue-mountains-newcastle%2fb1c82db9-f053-439b-a932-e61c04e6ee0b&c=8935989390674458926&mkt=en-au"",
    ""Image"": ""http://www.bing.com/th?id=ON.30C84B2B247A1F9D486B892295F2C1C6&pid=News"",
    ""Description"": ""A health warning has been issued in Sydney as thick smoke from prescribed burns has pushed air quality to hazardous levels. (Nine) ..."",
    ""Source"": ""Nine News Australia"",
    ""Rating"": 2.0
}"
9,9,"Patients"" concerns highlighted in NHS Tayside mental health inquiry report",Health,Mental Health,2019-05-21 22:38:00,Bing,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=E9A7D82FFA8C46799D69F275C375AF18&url=https%3a%2f%2fwww.bbc.co.uk%2fnews%2fuk-scotland-tayside-central-48355641&c=9173625774809427950&mkt=en-au,http://www.bing.com/th?id=ON.837D23BC0631D0B1254C39670AFC841C&pid=News,"Illegal drugs on wards and concerns over patient restraint have been highlighted in a report into NHS Tayside""s mental health services. The independent inquiry""s interim report has identified ""key ...",BBC,4.0,"{
    ""ID"": 9,
    ""Title"": ""Patients\"" concerns highlighted in NHS Tayside mental health inquiry report"",
    ""Topic"": ""Health"",
    ""Section"": ""Mental Health"",
    ""Timestamp"": ""2019-05-21 22:38:00"",
    ""RSS"": ""Bing"",
    ""Link"": ""http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=E9A7D82FFA8C46799D69F275C375AF18&url=https%3a%2f%2fwww.bbc.co.uk%2fnews%2fuk-scotland-tayside-central-48355641&c=9173625774809427950&mkt=en-au"",
    ""Image"": ""http://www.bing.com/th?id=ON.837D23BC0631D0B1254C39670AFC841C&pid=News"",
    ""Description"": ""Illegal drugs on wards and concerns over patient restraint have been highlighted in a report into NHS Tayside\""s mental health services. The independent inquiry\""s interim report has identified \""key ..."",
    ""Source"": ""BBC"",
    ""Rating"": 4.0
}"
