,ID,Title,Rating
0,0,"Does dairy need a closer look at its brand as people turn to what they believe are ""healthier"" alternatives?",2.0
1,1,Chinchilla students set to discover new worlds in books,6.0
2,2,"Better days ahead for $A, the economy",6.0
3,3,The Internet Security Apocalypse You Probably Missed,6.0
4,4,Turkey Burns Bridges With Markets as Costs of Lira Defense Mount,1.0
5,5,Peterborough Sports and Netherton United win golden oldie cup finals,6.0
6,6,"Sports on TV, May 22",6.0
7,7,Music to the ears for 17 years,6.0
8,8,Health alert as smoke from burn off covers Sydney,2.0
9,9,"Patients"" concerns highlighted in NHS Tayside mental health inquiry report",4.0
10,10,Children’s Audio Books,6.0
11,11,5 books that need to be adapted into Netflix shows,6.0
12,12,Gamer’s must-have Gadgets: The Worth-Buying Ones,6.0
13,13,GoT author breaks his silence on TV series ending,3.0
14,14,"For breach-weary healthcare CISOs, Internet of Medical Things is yet another headache",6.0
15,15,"For baby""s brain to benefit, read the right books at the right time",6.0
16,16,"Books, children""s.",6.0
17,17,Top gadgets this week: Best technology you can buy,6.0
18,18,"Brazil eyes another round of budget freezes, weighing on economy",6.0
19,19,"HSBC to Expand Technology Operations in China, Add 1,000 Jobs",6.0
20,20,Queensland Music Festival celebrates 20 years of music magic,6.0
21,21,Lightning quick to expand fixed-wireless internet service,6.0
22,22,"Celebrities grace the premiere of the musical theater ""Umrao Jaan""",4.0
23,23,"FCC Chairman Backs T-Mobile, Sprint Merger With Conditions",5.0
24,24,Mobile Phone & Telecom Imports Register a Marginal Decline in April 2019,5.0
25,25,"Overcome ""Fitness Plateau"" With These Tips",4.0
26,26,Human activity sparking off wildlife conflicts,6.0
27,27,Roy and H.G. join Macquarie Sports Radio with new show ‘Just short of a length’,6.0
28,28,5 Books Bill Gates Thinks Everyone Should Read This Summer,6.0
29,29,Thai economy faces heightened political uncertainties: central bank minutes,6.0
30,30,15 Books To Devour This Winter,6.0
31,31,Sports girl size S crop shirt,6.0
32,32,San Francisco bans facial recognition technology,6.0
33,33,"How to avoid a ""technology Iron Curtain"" in a new Cold War",6.0
34,34,Volunteer Spirit: Love of books provides Brown with way to give back,6.0
35,35,"Honda E gets new colors, and reservation books are now open in Europe",6.0
36,36,"Oil falls on rising U.S. stockpiles, but markets remain tense",1.0
37,37,Mental health overhaul revived in hectic move at the capitol,4.0
38,38,Technical Physics textbook Jimboomba,5.0
39,39,Council outraged over sports fields doodles visible from space,6.0
40,40,Wildlife hospital may have to move as Fort Lauderdale airport grows,6.0
